Transaction Date,Posting Date,Description,Amount,Type,Reference,Account
2024-11-27,2024-11-27,WAGES,4156.79,Credit,LEDGERA66935A8,Income
2024-12-03,2024-12-03,AMZN,67.08,Debit,LEDGERFF4B5E7D,Expenses
2024-12-04,2024-12-04,Starbucks,4.15,Debit,LEDGER9C3942AD,Expenses
2024-12-04,2024-12-04,PAYROLL,8650.94,Credit,LEDGER681BB89D,Income
2024-12-05,2024-12-05,NETFLIX,18.58,Debit,LEDGER837D6BC9,Expenses
2024-12-05,2024-12-05,SERVICE CHARGE,20.75,Debit,LEDGER0F378EDD,Expenses
2024-12-06,2024-12-06,WAGES,2552.79,Credit,LEDGER6AA33961,Income
2024-12-08,2024-12-08,PAYROLL,6661.55,Credit,LEDGER14329DF8,Income
2024-12-08,2024-12-08,SPOTIFY,26.52,Debit,LEDGER8A420419,Expenses
2024-12-08,2024-12-08,NETFLIX,13.78,Debit,LEDGER91E19520,Expenses
2024-12-09,2024-12-09,PAYROLL,2184.98,Credit,LEDGER62EF2CFC,Income
2024-12-10,2024-12-10,OFFICE DEPOT,290.07,Debit,LEDGERBFECC941,Expenses
2024-12-10,2024-12-10,GAS STATION,63.43,Debit,LEDGER71DCAB17,Expenses
2024-12-11,2024-12-11,SUBSCRIPTION,25.08,Debit,LEDGERE8B76423,Expenses
2024-12-11,2024-12-11,VENDOR,1647.79,Debit,LEDGERB426667C,Expenses
2024-12-11,2024-12-11,Amazon,68.48,Debit,LEDGERFBF0DD11,Expenses
2024-12-11,2024-12-11,SALARY,7180.04,Credit,LEDGERDE007610,Income
2024-12-11,2024-12-11,WAGES,7434.31,Credit,LEDGER44D3915E,Income
2024-12-11,2024-12-11,BANK FEE,32.17,Debit,LEDGER85F0AF6F,Expenses
2024-12-12,2024-12-12,WAGES,8607.77,Credit,LEDGER10ADB371,Income
2024-12-12,2024-12-12,SPOTIFY,27.59,Debit,LEDGER89DED5EA,Expenses
2024-12-13,2024-12-13,SPOTIFY,11.61,Debit,LEDGER2B411D8D,Expenses
2024-12-14,2024-12-14,WAGES,4104.93,Credit,LEDGERA4F9660E,Income
2024-12-14,2024-12-14,WIRE TRANSFER,1212.67,Debit,LEDGERA9C6395E,Expenses
2024-12-15,2024-12-15,WIRE TRANSFER,1134.83,Debit,LEDGERCBE0189C,Expenses
2024-12-16,2024-12-16,SUBSCRIPTION,11.23,Debit,LEDGER82E7A415,Expenses
2024-12-17,2024-12-17,UTILITY,143.54,Debit,LEDGERA02EF6E7,Expenses
2024-12-18,2024-12-18,SALARY,9592.29,Credit,LEDGER4B703136,Income
2024-12-19,2024-12-19,SPOTIFY,14.21,Debit,LEDGER2EC7C464,Expenses
2024-12-20,2024-12-20,GAS,309.16,Debit,LEDGER58A85595,Expenses
2024-12-20,2024-12-20,SALARY,8816.90,Credit,LEDGERBB9C4676,Income
2024-12-22,2024-12-22,PAYROLL,4231.95,Credit,LEDGER18CBEB5A,Income
2024-12-22,2024-12-22,AMZN,349.91,Debit,LEDGERD76AD886,Expenses
2024-12-23,2024-12-23,Starbucks,4.28,Debit,LEDGER4C461C0A,Expenses
2024-12-23,2024-12-23,EXXON,86.40,Debit,LEDGERC7B404A5,Expenses
2024-12-24,2024-12-24,SUPPLIER,1171.03,Debit,LEDGERCEF0679E,Expenses
2024-12-25,2024-12-25,STARBUCKS,10.21,Debit,LEDGER04F263A4,Expenses
2024-12-25,2024-12-25,WAGES,6582.54,Credit,LEDGER48AC7948,Income
2024-12-26,2024-12-26,PAYROLL,4173.42,Credit,LEDGER1C030523,Income
2024-12-27,2024-12-27,SALARY,4408.25,Credit,LEDGERD8A25F16,Income
2024-12-28,2024-12-28,PAYROLL,2809.91,Credit,LEDGERAC95E6FE,Income
2024-12-29,2024-12-29,SALARY,5883.52,Credit,LEDGER132C634A,Income
2024-12-29,2024-12-29,SALARY,9345.60,Credit,LEDGER09ED0851,Income
2024-12-30,2024-12-30,TRANSFER,4384.30,Debit,LEDGER994771ED,Expenses
2024-12-31,2024-12-31,Office Depot,168.18,Debit,LEDGERB120EA45,Expenses
2024-12-31,2024-12-31,OFFICE DEPOT,140.09,Debit,LEDGER60817C9C,Expenses
2024-12-31,2024-12-31,Starbucks,10.11,Debit,LEDGER049549C6,Expenses
